,01-01,01-02,01-03,01-04,01-05,01-06,01-07,01-08,01-09,01-10,01-11,01-12
Fajr,06:30,06:00,06:00,5:30,4:30,4:30,4:30,5:15,6:00,06:00,06:30,06:30
Dhuhr,13:15,13:15,13:15,13:15,13:15,13:15,13:15,13:15,13:15,13:15,13:15,13:15
Asr,15:30,16:00,17:30,18:00,19:00,19:00,19:00,19:00,18:00,17:00,16:10,15:00
Maghrib,,,,,,,,,,,,
Isha,21:00,21:00,21:00,22:00,22:30,22:30,22:30,22:00,21:00,21:00,21:00,21:00
Jummah,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00
